clip_id,group,category,prompt,gen_index,model,lufs_in,peak_in,proxy_arousal_deploy,proxy_valence_deploy,aux_arousal,tempo_bpm,onset_density,rms_mean,spectral_flux_mean,roughness,guidance_scale,seed,proxy_arousal_foldmean
anxiolytic.meditation.p6.g1,anxiolytic,meditation,gentle zen music for a calm clear mind,1,musicgen-small,-18.02897427519028,0.548370361328125,3.628916814821612,3.747952585813522,3.821517141910447,123.046875,5.444221776887107,0.1352531760931015,0.0723448395729065,0.0387175565665966,3.0,0,3.467649977673619
anxiolytic.meditation.p6.g3,anxiolytic,meditation,gentle zen music for a calm clear mind,3,musicgen-small,-18.97301505189188,0.60211181640625,3.228424526708141,3.225672769012188,3.541296803642271,129.19921875,5.678022712090848,0.1189694106578826,0.0536766722798347,0.0623118298581377,3.0,0,3.292959025004938
anxiolytic.meditation.p7.g1,anxiolytic,meditation,soft spa music for deep rest and healing,1,musicgen-small,-22.65823275158301,0.400604248046875,2.859083270592418,3.6324786509713234,3.8191360583194687,112.34714673913044,7.281229124916499,0.0800399035215377,0.0595569126307964,0.099685980218573,3.0,0,3.167372668897257
anxiolytic.meditation.p7.g3,anxiolytic,meditation,soft spa music for deep rest and healing,3,musicgen-small,-20.377216113583533,0.601043701171875,3.1257871778638897,3.489546652906513,3.4850251394697724,117.45383522727272,5.611222444889779,0.1023171693086624,0.0459022149443626,0.1555634318364118,3.0,0,3.154137353781663
anxiolytic.meditation.p8.g1,anxiolytic,meditation,slow flowing ambient music for yoga relaxation,1,musicgen-small,-26.70001047939593,0.366119384765625,2.574942527455084,2.655247459030129,2.53982330647195,123.046875,0.2004008016032064,0.0463544577360153,0.0619630366563797,0.1847735496602717,3.0,0,2.917630232979392
anxiolytic.meditation.p8.g3,anxiolytic,meditation,slow flowing ambient music for yoga relaxation,3,musicgen-small,-21.125573858937024,0.585296630859375,3.2250806406107286,3.564616155132968,4.181171435726433,123.046875,6.613226452905812,0.0874939560890197,0.0926647782325744,0.1044180803549015,3.0,0,3.160637025354807
anxiolytic.meditation.p9.g1,anxiolytic,meditation,minimal peaceful tones for silent contemplation,1,musicgen-small,-27.45958749666558,0.282073974609375,3.213188702118842,2.709294830298248,3.034291058688664,123.046875,4.742818971275885,0.0427335165441036,0.0911153778433799,0.0771172447054985,3.0,0,3.605162677862052
anxiolytic.meditation.p9.g3,anxiolytic,meditation,minimal peaceful tones for silent contemplation,3,musicgen-small,-21.376520540958587,0.427001953125,3.089021989361923,3.3417574098656124,2.5216948230761203,123.046875,0.7348029392117568,0.0759097263216972,0.0517705492675304,0.0417565970627541,3.0,0,3.139658602128581
anxiolytic.study_calm.p0.g1,anxiolytic,study_calm,soft calm background music for focused studying,1,musicgen-small,-31.546118084868933,0.263824462890625,3.341681321463504,2.8374302672614107,3.3055163042580133,112.34714673913044,2.1042084168336674,0.0381564758718013,0.0930733010172844,0.1102392611879364,3.0,0,3.397307951396025
anxiolytic.study_calm.p0.g3,anxiolytic,study_calm,soft calm background music for focused studying,3,musicgen-small,-30.890747361637555,0.210845947265625,3.946882180497119,3.2546787472214405,3.57335185235896,117.45383522727272,5.31062124248497,0.0274290069937706,0.0814909785985946,0.0832327395317781,3.0,0,3.6710161004150663
anxiolytic.study_calm.p1.g1,anxiolytic,study_calm,gentle low-key instrumental music for concentration,1,musicgen-small,-26.441848670978853,0.26739501953125,3.333945425043886,3.3727809730872966,3.662051320081385,135.99917763157896,5.31062124248497,0.0492890924215316,0.0845053419470787,0.1631898561403699,3.0,0,3.4866732920650896
anxiolytic.study_calm.p1.g3,anxiolytic,study_calm,gentle low-key instrumental music for concentration,3,musicgen-small,-13.19041844618074,0.824859619140625,3.729891976961377,4.200061347726201,3.595856819062041,112.34714673913044,2.137608550434201,0.2203774154186248,0.0665380954742431,0.0302703866228125,3.0,0,3.89245265169372
anxiolytic.study_calm.p2.g1,anxiolytic,study_calm,quiet mellow music to stay relaxed while working,1,musicgen-small,-31.44037514862552,0.20001220703125,3.2490822301639244,3.099182559043861,3.624699422428881,112.34714673913044,2.2053328804347827,0.0187173057347536,0.0452520735561847,0.1526436103324799,3.0,0,2.8598151243415337
anxiolytic.study_calm.p2.g3,anxiolytic,study_calm,quiet mellow music to stay relaxed while working,3,musicgen-small,-29.061996221684005,0.34490966796875,3.4848970091493263,2.6711719885617624,3.537682903075672,117.45383522727272,5.143620574482298,0.0372556187212467,0.0492045059800148,0.1786756447583688,3.0,0,3.4874483488441532
anxiolytic.study_calm.p3.g1,anxiolytic,study_calm,smooth peaceful background music without distractions,1,musicgen-small,-29.05352290319197,0.27630615234375,3.3889377159252305,3.098232045944324,3.396668895528481,129.19921875,3.1396125584502337,0.0398623757064342,0.0816930830478668,0.0994333572596498,3.0,0,3.447081178046301
anxiolytic.study_calm.p3.g3,anxiolytic,study_calm,smooth peaceful background music without distractions,3,musicgen-small,-24.549814515072093,0.349700927734375,3.389005464502463,3.256502151701195,2.933367035558594,123.046875,0.9352037408149632,0.0611875429749488,0.0510498844087123,0.1024525040534066,3.0,0,3.215116663038901
anxiolytic.study_calm.p4.g1,anxiolytic,study_calm,light airy calm instrumental for reading,1,musicgen-small,-35.52765466758971,0.14593505859375,3.371668121140885,3.3333118559703125,3.540201599625147,123.046875,5.3115234375,0.0128873633220791,0.0551399104297161,0.0396606499750701,3.0,0,3.4165868313156365
anxiolytic.study_calm.p4.g3,anxiolytic,study_calm,light airy calm instrumental for reading,3,musicgen-small,-23.98823038336421,0.325103759765625,3.18331085329556,3.511514798739482,2.904188834200945,123.046875,0.3674014696058784,0.059687428176403,0.0642219856381416,0.1202685036557781,3.0,0,3.1213985405421765
anxiolytic.study_calm.p5.g1,anxiolytic,study_calm,unobtrusive soft music for deep focus,1,musicgen-small,-25.525065747589174,0.3104248046875,3.161962494791201,3.337012340210844,3.937019943393704,117.45383522727272,6.212424849699398,0.0547099560499191,0.0748439356684684,0.1542869143796909,3.0,0,3.3149699212136965
anxiolytic.study_calm.p5.g3,anxiolytic,study_calm,unobtrusive soft music for deep focus,3,musicgen-small,-21.317542940757352,0.5604248046875,3.2306927981050304,3.485327828086908,3.5241321926767304,123.046875,6.446225784903139,0.0812651291489601,0.0538780130445957,0.0890580791173466,3.0,0,3.239189973996942
