clip_id,group,category,prompt,gen_index,model,lufs_in,peak_in,proxy_arousal_deploy,proxy_valence_deploy,aux_arousal,tempo_bpm,onset_density,rms_mean,spectral_flux_mean,roughness,num_inference_steps,cfg_scale,seed,clip_seed,config,proxy_arousal_foldmean
anxiolytic.meditation.p1.g0,anxiolytic,meditation,peaceful ambient music for mindfulness meditation,0,stable-audio-3-medium,-18.436958160681595,0.678863525390625,3.152411928703895,3.6202685867429008,3.262333992921058,123.046875,2.1555555555555554,0.1285625994205474,0.0403092615306377,0.1666816910811897,8,1.0,0,26067,sweep_s8_cfg1.0,3.335534363511658
anxiolytic.meditation.p1.g2,anxiolytic,meditation,peaceful ambient music for mindfulness meditation,2,stable-audio-3-medium,-18.05849112403943,0.65673828125,3.649919191584402,4.145192709957835,3.6544741399048433,129.19921875,5.248187321362538,0.1149524897336959,0.0415158793330192,0.3071737021761631,8,1.0,0,95865,sweep_s8_cfg1.0,3.669581627221965
anxiolytic.study_calm.p0.g0,anxiolytic,study_calm,soft calm background music for focused studying,0,stable-audio-3-medium,-21.329532587281975,0.60186767578125,3.154088158725912,3.465932635689273,3.305648663412313,172.265625,1.8444444444444448,0.0869899615645408,0.0329427644610405,0.1765946015525382,8,1.0,0,70191,sweep_s8_cfg1.0,3.017381729731273
anxiolytic.study_calm.p0.g2,anxiolytic,study_calm,soft calm background music for focused studying,2,stable-audio-3-medium,-21.59314856104538,0.701507568359375,2.625673296903553,3.310036763200174,3.0946372982603103,99.38401442307692,2.744309844885411,0.0769909247756004,0.0393794365227222,0.0614766294807984,8,1.0,0,92950,sweep_s8_cfg1.0,2.82101782473775
anxiolytic.study_calm.p1.g0,anxiolytic,study_calm,gentle low-key instrumental music for concentration,0,stable-audio-3-medium,-24.976075690484617,0.484130859375,2.753524558847078,3.1052731976804573,3.391993241809348,151.99908088235293,0.3851283041820094,0.0350154526531696,0.03094476275146,0.0680340888164307,8,1.0,0,36971,sweep_s8_cfg1.0,2.919788879481615
anxiolytic.study_calm.p1.g2,anxiolytic,study_calm,gentle low-key instrumental music for concentration,2,stable-audio-3-medium,-22.977736388076416,0.605987548828125,3.5192328194977143,3.3476177553587565,3.060886565113934,112.34714673913044,1.6699698764336428,0.0655403658747673,0.0361323878169059,0.1827823428673793,8,1.0,0,21188,sweep_s8_cfg1.0,3.5108537558634523
anxiolytic.nature_calm.p0.g0,anxiolytic,nature_calm,gentle rain sounds with soft calming piano,0,stable-audio-3-medium,-27.919168199636296,0.999969482421875,2.6077910088595817,3.133895008180466,3.987481741571367,129.19921875,2.181431543733681,0.0270667243748903,0.0767629444599151,0.2146100633663229,8,1.0,0,8759,sweep_s8_cfg1.0,2.6303358566754484
anxiolytic.nature_calm.p0.g2,anxiolytic,nature_calm,gentle rain sounds with soft calming piano,2,stable-audio-3-medium,-25.302237721241745,0.428802490234375,3.2382302541669508,3.039191597768925,3.625463533913307,80.74951171875,0.6072818742655699,0.0176127683371305,0.0337643325328826,0.0337533933087192,8,1.0,0,959,sweep_s8_cfg1.0,3.200132196996203
anxiolytic.nature_calm.p1.g0,anxiolytic,nature_calm,peaceful forest ambience with quiet warm pads,0,stable-audio-3-medium,-37.246432003234354,0.18121337890625,2.8609326573742515,3.448405702179835,7.242517734220402,117.45383522727272,6.277248178032274,0.0099194291979074,0.0288170464336872,1.1830254700554252,8,1.0,0,76396,sweep_s8_cfg1.0,3.1105729238518376
anxiolytic.nature_calm.p1.g2,anxiolytic,nature_calm,peaceful forest ambience with quiet warm pads,2,stable-audio-3-medium,-40.42814580639407,0.05389404296875,3.150448672852783,3.3576782346950136,6.85342172613071,123.046875,2.954659888253638,0.007677708286792,0.0294292718172073,1.1761570729288036,8,1.0,0,8312,sweep_s8_cfg1.0,3.266756564470991
